Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
107;-312.1963;45.5515;2.837;-314.376;48.9232;2.7403;-315.4659;50.609;2.692;-316.5557;52.2949;2.6436;-318.7353;55.6666;2.5469
108;-315.2103;43.6944;2.8885;-317.2738;47.1453;2.792;-318.3055;48.8707;2.7437;-319.3372;50.5961;2.6955;-321.4006;54.047;2.5989
109;-318.4216;41.8799;2.9442;-320.3384;45.4063;2.847;-321.2968;47.1695;2.7984;-322.2552;48.9327;2.7498;-324.172;52.4591;2.6526
110;-321.7556;40.1511;3.0033;-323.516;43.7452;2.9048;-324.3962;45.5422;2.8556;-325.2764;47.3392;2.8064;-327.0367;50.9333;2.718
111;-325.1375;38.5512;3.0651;-326.7523;42.2007;2.9651;-327.5598;44.0255;2.9151;-328.3672;45.8502;2.8651;-329.982;49.4997;2.7651
112;-328.5498;37.0725;3.1391;-330.046;40.767;3.0281;-330.7941;42.6143;2.9777;-331.5422;44.4616;2.9272;-333.0384;48.1561;2.8263
113;-331.9748;35.7071;3.1948;-333.3954;39.4382;3.0946;-334.1057;41.3037;3.0444;-334.8159;43.1693;2.9943;-336.2365;46.9004;2.8941
114;-335.48;34.4249;3.2641;-336.8281;38.1939;3.165;-337.502;40.0783;3.1154;-338.176;41.9628;3.0658;-339.524;45.7318;2.9667
115;-339.1329;33.1958;3.3387;-340.3715;37.0137;3.2415;-340.9907;38.9226;3.1914;-341.61;40.8316;3.1412;-342.8485;44.6495;3.0525
116;-342.8143;32.0753;3.4169;-343.9172;35.9412;3.3271;-344.4686;37.8741;3.2731;-345.0201;39.807;3.219;-346.123;43.6729;3.1192
117;-346.4049;31.1191;3.4932;-347.3567;35.0198;3.3956;-347.8326;36.9702;3.346;-348.3085;38.9206;3.2964;-349.2603;42.8214;3.1946
118;-350.0222;30.2938;3.5833;-350.8334;34.2187;3.4744;-351.239;36.1811;3.429;-351.6446;38.1435;3.3836;-352.4558;42.0683;3.2747
119;-353.7836;29.5664;3.6592;-354.4908;33.5065;3.56;-354.8444;35.4766;3.5114;-355.198;37.4467;3.4627;-355.9052;41.3868;3.3618
120;-357.5804;28.9525;3.7483;-358.179;32.906;3.6497;-358.4783;34.8827;3.6005;-358.7776;36.8594;3.5512;-359.3762;40.8128;3.4526
121;-361.3039;28.4683;3.8382;-361.7482;32.4396;3.7389;-361.9703;34.4252;3.6892;-362.1924;36.4109;3.6395;-362.6366;40.3822;3.5401
122;-365.0275;28.1235;3.9408;-365.3033;32.1119;3.8302;-365.4411;34.106;3.7799;-365.579;36.1002;3.7296;-365.8548;40.0886;3.639
123;-368.8246;27.9282;4.0279;-368.9493;31.9272;3.9266;-369.0117;33.9267;3.8759;-369.074;35.9262;3.8252;-369.1987;39.9252;3.7239
124;-372.6298;27.8626;4.1277;-372.6227;31.8679;4.0263;-372.6191;33.8705;3.9755;-372.6155;35.8732;3.9248;-372.6084;39.8784;3.8233
125;-376.3774;27.9072;4.2287;-376.2596;31.9163;4.1278;-376.2007;33.9209;4.0773;-376.1418;35.9255;4.0268;-376.0239;39.9346;3.9258
126;-380.0833;28.049;4.3314;-379.8721;32.0597;4.2315;-379.7665;34.0651;4.1825;-379.661;36.0705;4.1336;-379.4499;40.0813;4.0317
127;-383.7632;28.2754;4.4365;-383.4724;32.2855;4.3389;-383.3271;34.2906;4.2942;-383.1817;36.2957;4.2495;-382.8909;40.3058;4.1519
128;-387.4641;28.6174;4.5455;-387.0714;32.6268;4.4487;-386.8751;34.6315;4.4044;-386.6788;36.6362;4.3601;-386.2862;40.6455;4.2533
129;-391.2327;29.1062;4.6601;-390.68;33.1166;4.5614;-390.4037;35.1218;4.5131;-390.1273;37.127;4.4648;-389.5746;41.1374;4.364
130;-395.0049;29.7284;4.778;-394.2779;33.7318;4.6779;-393.9143;35.7335;4.6278;-393.5508;37.7352;4.5778;-392.8238;41.7387;4.4877
131;-398.7162;30.4709;4.8969;-397.8446;34.4495;4.7962;-397.4088;36.4388;4.7459;-396.973;38.4281;4.6956;-396.1014;42.4067;4.6049
132;-402.3716;31.3291;5.0278;-401.3777;35.2712;4.9189;-400.8807;37.2423;4.8676;-400.3837;39.2134;4.8164;-399.3898;43.1555;4.7157
133;-405.9758;32.2982;5.1528;-404.8744;36.1986;5.0513;-404.3236;38.1488;4.9964;-403.7729;40.099;4.9415;-402.6715;43.9994;4.8423
134;-409.5255;33.3515;5.2787;-408.3376;37.2135;5.1702;-407.7437;39.1444;5.1195;-407.1497;41.0754;5.0689;-405.9619;44.9374;4.9777
135;-413.0174;34.4625;5.3978;-411.7704;38.2978;5.2981;-411.1469;40.2155;5.2482;-410.5233;42.1331;5.1984;-409.2763;45.9684;5.1008
136;-416.4621;35.6112;5.5296;-415.1756;39.4298;5.4302;-414.5323;41.3391;5.3809;-413.8891;43.2484;5.3317;-412.6026;47.067;5.2414
137;-419.8699;36.778;5.6646;-418.5561;40.588;5.5646;-417.8991;42.493;5.5146;-417.2422;44.3979;5.4646;-415.9284;48.2078;5.3666
138;-423.2541;37.9579;5.8028;-421.9228;41.7654;5.702;-421.2572;43.6691;5.6516;-420.5916;45.5728;5.6012;-419.2603;49.3803;5.5003
139;-426.6281;39.1456;5.9445;-425.2869;42.9552;5.8433;-424.6164;44.86;5.7927;-423.9458;46.7647;5.7421;-422.6046;50.5742;5.6409
140;-429.9932;40.3357;6.091;-428.6484;44.1482;5.9897;-427.9761;46.0544;5.9382;-427.3037;47.9606;5.8866;-425.959;51.7731;5.7973
141;-433.3508;41.5224;6.256;-432.0074;45.3352;6.145;-431.3357;47.2415;6.09;-430.664;49.1479;6.0349;-429.3206;52.9606;5.9531
142;-436.7066;42.7085;6.3954;-435.3658;46.5187;6.2867;-434.6953;48.4238;6.2355;-434.0249;50.329;6.1842;-432.684;54.1393;6.0855
143;-440.066;43.8966;6.5396;-438.7252;47.7016;6.4374;-438.0548;49.604;6.3877;-437.3844;51.5065;6.338;-436.0436;55.3115;6.2568
144;-443.4272;45.0858;6.6913;-442.0853;48.884;6.5914;-441.4143;50.7831;6.5418;-440.7433;52.6822;6.4923;-439.4013;56.4804;6.4014
145;-450.1276;47.4594;7.0095;-448.7897;51.2546;6.9085;-448.1207;53.1522;6.858;-447.4518;55.0498;6.8075;-446.1242;58.8238;6.7076
146;-456.8485;49.8346;7.3378;-455.5218;53.6098;7.2352;-454.8584;55.4974;7.1861;-454.1951;57.3851;7.1371;-452.8709;61.1496;7.04
147;-463.5519;52.1963;7.6843;-462.2386;55.9409;7.5725;-461.5819;57.8132;7.5205;-460.9253;59.6855;7.4686;-459.6119;63.4301;7.3658
148;-470.2758;54.5677;8.0366;-468.9679;58.2883;7.9311;-468.3139;60.1486;7.878;-467.66;62.0089;7.8248;-466.3521;65.7295;7.7193
149;-477.0076;56.9479;8.3814;-475.7016;60.6522;8.2825;-475.0486;62.5043;8.2331;-474.3955;64.3564;8.1836;-473.0894;68.0606;8.0847
150;-483.7379;59.3325;8.7528;-482.4352;63.0239;8.6634;-481.7839;64.8696;8.6098;-481.1325;66.7153;8.5562;-479.8298;70.4066;8.4569
151;-490.4329;61.7042;9.1349;-489.1348;65.3816;9.0316;-488.4857;67.2204;8.9803;-487.8367;69.0591;8.9289;-486.5393;72.7355;8.8309
152;-497.0238;64.038;9.4946;-495.7304;67.7078;9.3967;-495.0836;69.5427;9.3478;-494.4369;71.3777;9.2989;-493.1435;75.0475;9.2112
153;-503.7654;66.4164;9.8706;-502.4755;70.0878;9.773;-501.8305;71.9235;9.7242;-501.1855;73.7592;9.6754;-499.8955;77.4306;9.5778
154;-510.5399;68.804;10.2579;-509.2518;72.4802;10.1505;-508.6077;74.3183;10.1018;-507.9637;76.1563;10.0531;-506.6755;79.8325;9.9557
155;-517.2999;71.1864;10.624;-516.0103;74.8707;10.5269;-515.3654;76.7129;10.4783;-514.7206;78.5551;10.4297;-513.4318;82.2386;10.3326
156;-522.3468;72.9644;10.9044;-521.0493;76.6611;10.8077;-520.4011;78.5089;10.7593;-519.7529;80.3566;10.711;-518.4568;84.0519;10.6143
157;-524.0699;73.5715;11.0001;-522.7698;77.2724;10.9036;-522.1204;79.1221;10.8553;-521.4711;80.9717;10.807;-520.1725;84.6711;10.7104
158;-530.7355;75.9247;11.3714;-529.4203;79.6529;11.2758;-528.7627;81.517;11.228;-528.1051;83.3811;11.1802;-526.7899;87.1093;11.0846
159;-537.4172;78.2723;11.7496;-536.1048;82.0433;11.6548;-535.4486;83.9287;11.6074;-534.7924;85.8142;11.5599;-533.4801;89.5852;11.467
160;-540.8115;79.4681;11.9442;-539.4816;83.2481;11.8475;-538.8167;85.1382;11.7996;-538.1518;87.0282;11.7518;-536.8219;90.8083;11.6741
161;-544.2143;80.694;12.1377;-542.8475;84.4733;12.0388;-542.1641;86.3629;11.9893;-541.4807;88.2525;11.9399;-540.1139;92.0318;11.843
162;-547.6342;81.9803;12.3292;-546.1915;85.7389;12.2273;-545.4702;87.6182;12.1763;-544.7488;89.4975;12.1254;-543.3061;93.256;12.0234
163;-551.0564;83.3343;12.5176;-549.5302;87.0653;12.4145;-548.7671;88.9308;12.363;-548.004;90.7964;12.3114;-546.4778;94.5274;12.2083
164;-554.4658;84.7632;12.702;-552.88;88.4728;12.6022;-552.087;90.3277;12.5523;-551.2941;92.1824;12.5024;-549.7082;95.8921;12.4025
165;-557.8723;86.2933;12.886;-556.201;89.9673;12.7896;-555.3653;91.8043;12.7414;-554.5296;93.6413;12.6932;-552.8582;97.3153;12.6068
166;-561.2857;87.9507;13.0734;-559.4534;91.5546;12.9761;-558.5372;93.3565;12.9275;-557.621;95.1584;12.8789;-555.7886;98.7623;12.7917
167;-564.6693;89.7688;13.263;-562.649;93.2842;13.1634;-561.6389;95.0419;13.1136;-560.6287;96.7996;13.0637;-558.6084;100.315;12.9641
168;-567.9864;91.781;13.4538;-565.7997;95.2058;13.3527;-564.7064;96.9182;13.3022;-563.6131;98.6306;13.2517;-561.4264;102.0554;13.1506
169;-571.2007;93.949;13.6435;-568.852;97.2666;13.5409;-567.6776;98.9254;13.4896;-566.5032;100.5842;13.4383;-564.1545;103.9018;13.3358
170;-574.2761;96.2344;13.8301;-571.7522;99.4138;13.7265;-570.4902;101.0035;13.6729;-569.2283;102.5933;13.6193;-566.7045;105.7727;13.5239
171;-577.2194;98.69;14.0146;-574.5322;101.7155;13.9164;-573.1887;103.2282;13.8582;-571.8451;104.7409;13.8;-569.1579;107.7664;13.6919
172;-580.0378;101.3687;14.1944;-577.224;104.2395;14.0901;-575.8171;105.6749;14.0363;-574.4103;107.1103;13.9825;-571.5966;109.9811;13.8766
173;-581.3748;102.7591;14.2888;-578.5132;105.5602;14.18;-577.0825;106.9608;14.1273;-575.6517;108.3614;14.0746;-572.7901;111.1625;13.975
174;-582.7023;104.1396;14.3825;-579.7932;106.8715;14.2693;-578.3387;108.2375;14.2176;-576.8842;109.6035;14.166;-573.9751;112.3354;14.0728
175;-585.184;106.8717;14.5584;-582.2054;109.4971;14.4473;-580.7161;110.8098;14.3968;-579.2268;112.1225;14.3462;-576.2482;114.7479;14.2451
176;-587.5726;109.6657;14.7273;-584.5291;112.2001;14.6282;-583.0074;113.4673;14.5786;-581.4857;114.7345;14.529;-578.4422;117.2689;14.432
177;-589.9573;112.6221;14.9148;-586.8328;115.0644;14.8175;-585.2705;116.2856;14.7693;-583.7082;117.5067;14.7212;-580.5837;119.949;14.6429
178;-592.2744;115.7101;15.1059;-589.0536;118.0399;15.0094;-587.4432;119.2048;14.9612;-585.8328;120.3698;14.913;-582.6119;122.6996;14.8188
179;-594.4601;118.8989;15.3059;-591.1288;121.0766;15.1983;-589.4631;122.1654;15.1495;-587.7975;123.2543;15.1006;-584.4662;125.4319;15.013
180;-596.4775;122.1608;15.483;-593.0377;124.1664;15.3836;-591.3179;125.1692;15.334;-589.598;126.172;15.2843;-586.1583;128.1776;15.1949
181;-598.2898;125.4679;15.6653;-594.7597;127.3013;15.5652;-592.9947;128.218;15.5151;-591.2297;129.1347;15.4651;-587.6996;130.968;15.365
182;-599.9526;128.8715;15.8481;-596.3485;130.5472;15.7489;-594.5465;131.3851;15.6993;-592.7445;132.223;15.6498;-589.1405;133.8988;15.5606
183;-601.5215;132.4227;16.0378;-597.8579;133.9702;15.9408;-596.0261;134.744;15.8929;-594.1943;135.5178;15.845;-590.5308;137.0654;15.7492
184;-602.9688;136.0395;16.2378;-599.2516;137.4626;16.1361;-597.3929;138.1741;16.0892;-595.5343;138.8856;16.0424;-591.8171;140.3086;15.9497
185;-604.2665;139.6395;16.4284;-600.493;140.9162;16.3316;-598.6063;141.5545;16.285;-596.7195;142.1928;16.2384;-592.946;143.4694;16.141
186;-605.3955;143.2046;16.6279;-601.566;144.3234;16.5263;-599.6512;144.8828;16.4804;-597.7365;145.4423;16.4345;-593.907;146.5611;16.3246
187;-606.3368;146.7165;16.839;-602.4544;147.6766;16.7131;-600.5132;148.1567;16.6605;-598.572;148.6367;16.6079;-594.6896;149.5968;16.5012
188;-607.1307;150.2154;17.0237;-603.2051;151.0385;16.8996;-601.2423;151.45;16.844;-599.2795;151.8615;16.7883;-595.3539;152.6847;16.6841
189;-607.8177;153.7418;17.2004;-603.865;154.4721;17.0866;-601.8887;154.8372;17.0299;-599.9125;155.2023;16.9732;-595.9599;155.9327;16.8631
190;-608.4363;157.2974;17.3859;-604.4689;157.9711;17.2756;-602.4852;158.3079;17.2206;-600.5016;158.6447;17.1655;-596.5343;159.3184;17.0687
191;-609.0251;160.8838;17.5707;-605.0513;161.529;17.4671;-603.0644;161.8515;17.4159;-601.0775;162.174;17.3647;-597.1038;162.8194;17.2821
192;-609.6015;164.5087;17.7559;-605.6256;165.1432;17.6611;-603.6377;165.4603;17.6142;-601.6498;165.7774;17.5673;-597.674;166.4121;17.4763
193;-610.1825;168.18;17.9426;-606.2051;168.811;17.8577;-604.2164;169.1263;17.8163;-602.2278;169.4416;17.775;-598.2504;170.0728;17.6924
194;-610.766;171.8745;18.1296;-606.7872;172.5048;18.0565;-604.7979;172.8205;18.0206;-602.8086;173.1362;17.9847;-598.83;173.7675;17.9127
195;-611.9018;179.0639;18.4909;-607.921;179.6961;18.4427;-605.9307;180.0129;18.4188;-603.9404;180.3297;18.3948;-599.9598;180.9633;18.3469
196;-612.9778;185.7769;18.8349;-608.9822;186.4057;18.8007;-606.9914;186.7202;18.7888;-605.0006;187.0347;18.7769;-601.019;187.6648;18.7554
197;-614.0417;192.4937;19.1559;-610.0448;193.1204;19.1562;-608.0541;193.4346;19.1587;-606.0633;193.7487;19.1611;-602.08;194.3768;19.1687
198;-615.1408;199.5503;19.5098;-611.1606;200.1768;19.5227;-609.1701;200.4902;19.5363;-607.1796;200.8035;19.55;-603.1985;201.4301;19.5798
199;-616.2624;206.6591;19.8527;-612.2832;207.2833;19.8847;-610.2932;207.5955;19.9061;-608.3032;207.9077;19.9276;-604.3239;208.5322;19.9901
200;-617.3937;213.8373;20.1961;-613.416;214.4601;20.2438;-611.4268;214.7716;20.2726;-609.4376;215.0831;20.3015;-605.4576;215.7056;20.3612
201;-618.5285;221.0437;20.5384;-614.5527;221.6658;20.5994;-612.5646;221.9769;20.6353;-610.5764;222.2879;20.6711;-606.6001;222.9103;20.7439
202;-619.6601;228.2307;20.868;-615.6863;228.8524;20.9503;-613.6992;229.1633;20.992;-611.7122;229.4741;21.0337;-607.7381;230.0959;21.1277
203;-620.7828;235.3583;21.2041;-616.8108;235.9797;21.3048;-614.8247;236.2904;21.3488;-612.8387;236.6011;21.3928;-608.8667;237.2224;21.4903
204;-621.8414;242.075;21.5355;-617.8711;242.6964;21.623;-615.886;243.0072;21.6759;-613.9008;243.3179;21.7287;-609.9305;243.9395;21.8164
205;-622.8401;248.4954;21.8415;-618.8867;249.1234;21.9366;-616.9022;249.4345;21.9842;-614.9177;249.7455;22.0318;-610.9408;250.3645;22.137
206;-624.0001;255.7509;22.1844;-620.033;256.3737;22.2792;-618.049;256.685;22.327;-616.065;256.9962;22.3748;-612.097;257.6187;22.4787
207;-625.1581;263.0745;22.5287;-621.191;263.697;22.6382;-619.2075;264.0082;22.6811;-617.224;264.3195;22.724;-613.2741;264.9503;22.8223
208;-626.3084;270.2992;22.8505;-622.3329;270.9172;22.9458;-620.3498;271.2285;22.9934;-618.3667;271.5397;23.041;-614.4005;272.1622;23.1463
209;-627.4149;277.354;23.1711;-623.4494;277.9765;23.2571;-621.4667;278.2878;23.3051;-619.484;278.5991;23.3531;-615.5186;279.2216;23.4591
210;-628.519;284.3396;23.4673;-624.5544;284.9623;23.5543;-622.572;285.2736;23.6029;-620.5897;285.5849;23.6514;-616.6251;286.2075;23.7484
211;-629.618;291.3189;23.753;-625.6586;291.944;23.8502;-623.6766;292.2552;23.8947;-621.6947;292.5665;23.9392;-617.7309;293.189;24.0464
212;-630.7329;298.3495;24.0182;-626.7699;298.9716;24.1182;-624.7884;299.2827;24.1722;-622.8069;299.5937;24.2263;-618.8439;300.2158;24.3163
213;-631.8449;305.3888;24.2843;-627.8828;306.0106;24.385;-625.9018;306.3215;24.4395;-623.9208;306.6324;24.4939;-619.9587;307.2542;24.5846
214;-632.9695;312.5093;24.5431;-629.0085;313.1312;24.6434;-627.0281;313.4421;24.6935;-625.0476;313.753;24.7437;-621.0866;314.3748;24.844
215;-634.1181;319.7697;24.8074;-630.156;320.3903;24.9024;-628.1761;320.7014;24.9505;-626.1963;321.0124;24.9985;-622.2163;321.6194;25.1091
216;-635.2549;327.0355;25.0439;-631.306;327.6647;25.1445;-629.3267;327.9757;25.1948;-627.3474;328.2868;25.2451;-623.3817;328.9033;25.3457
217;-636.2948;333.5649;25.2654;-632.3371;334.1863;25.3555;-630.3583;334.4969;25.4057;-628.3794;334.8076;25.4558;-624.4127;335.4216;25.5561
218;-637.3737;340.3929;25.4759;-633.4171;341.0152;25.5786;-631.4388;341.3264;25.6214;-629.4605;341.6376;25.6643;-625.4921;342.2501;25.7625
219;-638.5637;347.9199;25.6895;-634.6082;348.5445;25.7873;-632.6304;348.8568;25.8354;-630.6527;349.1691;25.8834;-626.6973;349.7936;25.9813
220;-639.1343;351.5165;25.8081;-635.1793;352.1426;25.8958;-633.2018;352.4557;25.9402;-631.2244;352.7688;25.9845;-627.2695;353.3949;26.0813
221;-639.6997;355.0441;25.8871;-635.7466;355.6795;25.9848;-633.7701;355.9973;26.0328;-631.7936;356.315;26.0808;-627.8406;356.9504;26.1806
222;-640.2547;358.4337;25.9757;-636.3063;359.0939;26.0739;-634.3321;359.424;26.1236;-632.3579;359.7542;26.1732;-628.4094;360.4144;26.2905
223;-640.8256;361.718;26.0621;-636.887;362.4278;26.1609;-634.9177;362.7827;26.2104;-632.9484;363.1376;26.2598;-629.0099;363.8474;26.3607
224;-641.4383;364.9301;26.1472;-637.5175;365.7233;26.2462;-635.5571;366.1199;26.2957;-633.5966;366.5165;26.3452;-629.6757;367.3097;26.4543
225;-642.1303;368.1133;26.2317;-638.2359;369.0196;26.3305;-636.2887;369.4727;26.3799;-634.3415;369.9258;26.4292;-630.4471;370.8321;26.528
226;-642.9387;371.3111;26.3166;-639.0805;372.3558;26.4144;-637.1514;372.8782;26.4633;-635.2222;373.4006;26.5122;-631.364;374.4453;26.61
227;-643.8757;374.5123;26.3987;-640.0607;375.7093;26.4956;-638.1532;376.3079;26.5441;-636.2457;376.9064;26.5926;-632.4307;378.1034;26.6895
228;-644.9534;377.706;26.4753;-641.1862;379.0575;26.572;-639.3026;379.7332;26.6204;-637.4189;380.4089;26.6687;-633.6517;381.7604;26.7754
229;-646.1605;380.8694;26.5481;-642.4451;382.373;26.6449;-640.5874;383.1248;26.6934;-638.7297;383.8765;26.7418;-635.0142;385.38;26.8399
230;-647.4861;383.9799;26.6189;-643.8259;385.6287;26.7159;-641.9958;386.453;26.7649;-640.1658;387.2774;26.8139;-636.5056;388.9261;26.9299
231;-648.8799;386.9328;26.6862;-645.2849;388.7273;26.7836;-643.4873;389.6245;26.8327;-641.6898;390.5218;26.8818;-638.0947;392.3163;26.9882
232;-650.2917;389.6234;26.7485;-646.778;391.5717;26.8464;-645.0211;392.5458;26.8953;-643.2643;393.52;26.9443;-639.7506;395.4684;27.0441
233;-651.8374;392.2459;26.8094;-648.4177;394.3487;26.9079;-646.7079;395.4001;26.9571;-644.9981;396.4514;27.0064;-641.5784;398.5542;27.1149
234;-653.6328;394.9946;26.8725;-650.3163;397.2451;26.9714;-648.6581;398.3704;27.0209;-646.9999;399.4956;27.0704;-643.6835;401.7461;27.1693
235;-655.6241;397.7857;26.9359;-652.4132;400.173;27.035;-650.8077;401.3666;27.0846;-649.2022;402.5603;27.1341;-645.9912;404.9477;27.2333
236;-657.7578;400.5354;26.9975;-654.6475;403.0445;27.0966;-653.0923;404.299;27.1462;-651.5371;405.5536;27.1957;-648.4268;408.0627;27.2949
237;-659.9874;403.1951;27.0567;-656.9773;405.8194;27.1558;-655.4723;407.1315;27.2053;-653.9673;408.4436;27.2549;-650.9572;411.0678;27.354
238;-662.2665;405.7163;27.113;-659.3608;408.4574;27.2122;-657.908;409.8279;27.2618;-656.4551;411.1985;27.3113;-653.5494;413.9396;27.4105
239;-664.6167;408.1162;27.1672;-661.8164;410.972;27.2665;-660.4163;412.3999;27.3161;-659.0161;413.8278;27.3657;-656.2158;416.6837;27.465
240;-667.0596;410.412;27.22;-664.3627;413.3767;27.3193;-663.0143;414.859;27.369;-661.6659;416.3413;27.4186;-658.969;419.3059;27.518
241;-669.618;412.6546;27.2726;-667.0147;415.7114;27.3719;-665.7131;417.2398;27.4215;-664.4115;418.7682;27.4712;-661.8082;421.825;27.5705
242;-672.3149;414.8943;27.3262;-669.7876;418.0161;27.4253;-668.5239;419.577;27.4749;-667.2603;421.1379;27.5245;-664.733;424.2597;27.6236
243;-675.0175;417.0409;27.3787;-672.5541;420.2105;27.4777;-671.3224;421.7953;27.5272;-670.0907;423.3801;27.5767;-667.6272;426.5498;27.6757
244;-677.593;419.0037;27.4276;-675.187;422.2142;27.5269;-673.984;423.8195;27.5766;-672.781;425.4248;27.6262;-670.375;428.6353;27.7255
245;-680.1049;420.8746;27.4749;-677.7531;424.1226;27.5746;-676.5772;425.7466;27.6245;-675.4013;427.3706;27.6744;-673.0495;430.6185;27.7741
246;-686.1423;425.2082;27.5838;-683.8116;428.4713;27.6841;-682.6462;430.1028;27.7342;-681.4808;431.7344;27.7843;-679.15;434.9975;27.8845
247;-692.1484;429.5175;27.7011;-689.8064;432.7708;27.7922;-688.6354;434.3975;27.8468;-687.4644;436.0242;27.9014;-685.1187;439.2739;28.0025
248;-697.7846;433.5618;27.7912;-695.4447;436.8144;27.8915;-694.2748;438.4407;27.9417;-693.1049;440.067;27.9918;-690.7651;443.3196;28.0921
249;-703.5281;437.684;27.8937;-701.1944;440.9387;27.9941;-700.0276;442.566;28.0443;-698.8607;444.1933;28.0945;-696.5269;447.448;28.2049
250;-709.471;441.9494;28.0105;-707.1371;445.2022;28.1017;-705.9702;446.8286;28.1514;-704.8033;448.4551;28.2011;-702.4695;451.7079;28.3114
251;-715.3203;446.1442;28.1065;-712.9925;449.4027;28.2111;-711.8244;451.028;28.264;-710.6563;452.6533;28.3168;-708.3201;455.904;28.4114
252;-721.0103;450.226;28.21;-718.6748;453.4779;28.311;-717.5071;455.1039;28.3657;-716.3394;456.7298;28.4204;-714.0039;459.9817;28.5114
253;-726.7845;454.3661;28.3257;-724.4544;457.6224;28.4296;-723.2894;459.2505;28.473;-722.1244;460.8787;28.5164;-719.7943;464.135;28.6157
254;-732.6823;458.597;28.4407;-730.3456;461.8453;28.5216;-729.1773;463.4695;28.5711;-728.009;465.0936;28.6206;-725.6724;468.3419;28.7306
255;-734.1091;459.6028;28.4559;-731.7979;462.8646;28.547;-730.6423;464.4955;28.5977;-729.4868;466.1264;28.6484;-727.1757;469.3882;28.7483
256;-735.5265;460.5936;28.4768;-733.2462;463.872;28.5728;-732.1061;465.5113;28.6262;-730.966;467.1505;28.6796;-728.6857;470.4289;28.7729
257;-736.9249;461.554;28.5079;-734.6864;464.8555;28.599;-733.5671;466.5063;28.6536;-732.4479;468.157;28.7082;-730.2095;471.4586;28.7993
258;-738.2949;462.469;28.5333;-736.1145;465.8032;28.6239;-735.0243;467.4703;28.6774;-733.9341;469.1374;28.7309;-731.7537;472.4716;28.8243
259;-739.6269;463.3235;28.5514;-737.5264;466.7031;28.6487;-736.4761;468.3929;28.6998;-735.4258;470.0828;28.7509;-733.3253;473.4625;28.8507
260;-740.9387;464.1189;28.5733;-738.9382;467.5544;28.6737;-737.938;469.2722;28.7249;-736.9377;470.99;28.776;-734.9372;474.4255;28.8827
261;-742.2479;464.8568;28.5984;-740.366;468.3563;28.6993;-739.425;470.106;28.7529;-738.4842;471.8557;28.8064;-736.6023;475.3552;28.9197
262;-743.5721;465.5388;28.6239;-741.826;469.1078;28.7253;-740.9529;470.8922;28.78;-740.0798;472.6767;28.8347;-738.3337;476.2457;28.9329
263;-744.9291;466.1663;28.6499;-743.3341;469.808;28.7505;-742.5366;471.6289;28.804;-741.7391;473.4498;28.8574;-740.1441;477.0916;28.9517
264;-746.316;466.7357;28.6763;-744.8845;470.4498;28.7763;-744.1687;472.3069;28.8271;-743.4529;474.1639;28.878;-742.0214;477.8781;28.9764
265;-747.7298;467.2434;28.7029;-746.4709;471.0256;28.8027;-745.8414;472.9167;28.8526;-745.2119;474.8079;28.9025;-743.9531;478.5902;29.0023
266;-749.1677;467.6857;28.7297;-748.0873;471.5282;28.8293;-747.5472;473.4495;28.8798;-747.0071;475.3708;28.9303;-745.9268;479.2133;29.0284
267;-750.6267;468.059;28.7565;-749.7279;471.9502;28.8562;-749.2785;473.8958;28.9091;-748.8291;475.8413;28.962;-747.9303;479.7325;29.0555
268;-752.0956;468.3608;28.7866;-751.3849;472.2895;28.8832;-751.0295;474.2539;28.9374;-750.6741;476.2183;28.9915;-749.9633;480.1471;29.0917
269;-753.5631;468.5881;28.8192;-753.0507;472.5441;28.9095;-752.7944;474.5221;28.9637;-752.5382;476.5001;29.0179;-752.0258;480.4561;29.1088
270;-755.0177;468.7385;28.8449;-754.7177;472.7119;28.9355;-754.5677;474.6986;28.9899;-754.4177;476.6853;29.0442;-754.1176;480.6587;29.1348
271;-756.4483;468.8092;28.8638;-756.3784;472.7908;28.9612;-756.3435;474.7816;29.0158;-756.3086;476.7725;29.0704;-756.2387;480.7541;29.1616
272;-757.8666;468.7983;28.8887;-758.0349;472.7797;28.9861;-758.119;474.7704;29.0398;-758.2031;476.7611;29.0935;-758.3714;480.7425;29.1879
273;-759.2847;468.7041;28.9195;-759.6892;472.6773;29.0112;-759.8914;474.664;29.0628;-760.0936;476.6506;29.1143;-760.4981;480.6238;29.2152
274;-760.7146;468.5247;28.9386;-761.3434;472.4825;29.0394;-761.6578;474.4615;29.0893;-761.9723;476.4404;29.1392;-762.6012;480.3982;29.2513
275;-762.168;468.258;28.9646;-762.9997;472.194;29.0705;-763.4156;474.162;29.1182;-763.8315;476.1299;29.1658;-764.6632;480.0658;29.2684
276;-763.6325;467.9111;28.9982;-764.6504;471.8171;29.0995;-765.1593;473.7701;29.1461;-765.6683;475.7231;29.1926;-766.6862;479.6291;29.294
277;-765.0951;467.4908;29.018;-766.2875;471.3574;29.1236;-766.8837;473.2907;29.171;-767.4798;475.224;29.2184;-768.6721;479.0906;29.32
278;-766.5434;467.0039;29.0448;-767.9033;470.8203;29.1452;-768.5832;472.7284;29.1948;-769.2631;474.6366;29.2444;-770.623;478.4529;29.3459
