Segment_ID;road_outer_left X;road_outer_left Y;road_outer_left Z;road_inner_left X;road_inner_left Y;road_inner_left Z;road_center X;road_center Y;road_center Z;road_inner_right X;road_inner_right Y;road_inner_right Z;road_outer_right X;road_outer_right Y;road_outer_right Z
1274;76.5551;-72.7282;-0.1794;79.7542;-68.8511;-0.0519;81.3538;-66.9126;0.0044;82.9533;-64.974;0.0606;86.1526;-61.0968;0.2056
1275;71.5513;-68.5868;-0.1594;74.7122;-64.6903;-0.0544;76.312;-62.7516;0.0044;77.9119;-60.8128;0.0631;81.1206;-56.9394;0.1856
1276;66.3264;-64.2886;-0.1891;69.5268;-60.4109;-0.0626;71.127;-58.472;0.004;72.7271;-56.5332;0.0706;75.9274;-52.6554;0.1956
1277;63.4127;-61.8904;-0.1794;66.6313;-58.0214;-0.0544;68.2316;-56.0825;0.0081;69.8319;-54.1436;0.0706;73.0324;-50.2659;0.1856
1278;57.9793;-57.4005;-0.1894;61.1795;-53.5227;-0.0544;62.7796;-51.5838;0.0081;64.3797;-49.6448;0.0706;67.5885;-45.7708;0.1956
1279;52.5698;-52.9369;-0.1894;55.7684;-49.0591;-0.0544;57.3677;-47.1201;0.0031;58.967;-45.1811;0.0606;62.1657;-41.3033;0.1856
1280;47.2245;-48.5287;-0.1794;50.4196;-44.651;-0.0644;52.0172;-42.7122;0.0031;53.6147;-40.7734;0.0706;56.8099;-36.8958;0.1856
1281;41.7348;-44.0065;-0.1894;44.9252;-40.1302;-0.0644;46.5204;-38.1921;0.0031;48.1157;-36.254;0.0706;51.3061;-32.3778;0.1956
1282;36.2473;-39.4894;-0.1794;39.4309;-35.6146;-0.0644;41.0238;-33.6778;-0.0019;42.6168;-31.7409;0.0606;45.8027;-27.8672;0.1856
1283;30.7331;-34.9535;-0.1894;33.9148;-31.0831;-0.0644;35.5056;-29.1479;-0.0019;37.0965;-27.2127;0.0606;40.2782;-23.3423;0.1856
1284;25.2037;-30.4092;-0.1794;28.395;-26.5487;-0.0644;29.984;-24.6154;-0.0019;31.5731;-22.6822;0.0606;34.7512;-18.8157;0.1956
1285;19.6967;-25.8733;-0.1794;22.8713;-22.011;-0.0644;24.4586;-20.0798;-0.0019;26.046;-18.1487;0.0606;29.2207;-14.2864;0.1856
1286;14.1959;-21.347;-0.1894;17.3674;-17.4893;-0.0544;18.9532;-15.5604;0.0031;20.5389;-13.6315;0.0606;23.7104;-9.7738;0.1857
1287;8.7138;-16.8352;-0.1793;11.882;-12.9823;-0.0644;13.4662;-11.0559;-0.0006;15.0503;-9.1295;0.0631;18.2186;-5.2766;0.1956
1288;3.2089;-12.3041;-0.1794;6.3737;-8.4562;-0.0518;7.9561;-6.5322;0.0094;9.5384;-4.6082;0.0706;12.7031;-0.7603;0.1857
1289;-2.2449;-7.8148;-0.1794;0.9159;-3.9715;-0.0618;2.4964;-2.0499;-0.0006;4.0768;-0.1282;0.0606;7.2377;3.7151;0.1857
