Distance_m,Time_s,Velocity_ms,VLIM_ms,SteerAngle_deg,Throttle_0to1,Brake_0to1,Lean_deg,Grade_rad
0,0,59.8099828887385,79.8940632830233,-0,1,0,0,0.00230873398416014
3.43876396927803,0.057551224765936,59.9274964212243,79.3237662875421,0,1,0,-0,0.0012344813153142
6.89373242902419,0.115260280938771,60.0443850392905,78.75440975062,0,1,0,-0,0.000949574545899734
10.3505951915053,0.17288816374594,60.1591881853548,78.1747306645819,-0,1,0,0,0.00177789658940081
13.7825057786686,0.229989803823637,60.2729435606542,77.5958424383839,-0,1,0,0,0.00180232049889297
17.207447170362,0.286867338781111,60.3865605591306,77.015000856204,0,1,0,-0,0.0017893111751718
20.652069995211,0.343963923919226,60.4995791055442,76.4276139772,0,1,0,-0,0.00175491022708202
24.1021368191592,0.401043533434731,60.6117328735308,75.8360030881943,-0,1,0,0,0.00107493261606185
27.5392722748235,0.457803474343605,60.7230734157167,75.2435091723352,0,1,0,-0,0.000892290688401855
30.9724646640494,0.514393870689426,60.8333068554153,74.6483276095143,0,1,0,-0,0.00199868215699752
34.4124771202565,0.570993325996241,60.9427235982671,74.0479730310737,0,1,0,-0,0.00220429217336454
37.8539443836109,0.627514584745323,61.0513823604842,73.4436429532163,0,1,0,-0,0.00179464236385168
41.2886964581035,0.683824716247152,61.159270509832,72.8369424375318,0,1,0,-0,0.00186180055083774
44.723643958056,0.740038269145808,61.266892893348,72.2263681428105,0,1,0,-0,0.00177786417248053
48.1723314554183,0.796377329384181,61.3740145930352,71.6094549022106,0,1,0,-0,0.00161038215567609
51.6252897429031,0.852687387068127,61.4805426175942,70.9877956139507,0,1,0,-0,0.000842463219126588
55.0694330621621,0.908756016469543,61.5863631616576,70.3639052055415,0,1,0,-0,0.000616065697214119
58.5096165692081,0.964663548803488,61.6907575795619,69.7365835905219,0,1,0,-0,0.00183564282296216
61.9455534736501,1.02040685110943,61.7943232417001,69.1051425053317,0,1,0,-0,0.00200635362197019
65.3793031245732,1.07602085124752,61.8978358841806,68.4695484333901,0,1,0,-0,0.00104385427689049
68.8177719540546,1.13161805084014,62.0008637049651,67.8288996041355,0.0237406918310162,1,0,-1.66744608254634,0.000784490234101757
72.258148752827,1.18715336816277,62.1029427745799,67.1832628005051,0.0243738610016339,1,0,-3.33162141409876,0.00129622805600897
75.6974923499185,1.24258025142535,62.2043459401346,66.5326949998282,0.0257173046247895,1,0,-4.99291624570963,0.00131659872602065
79.1365356118931,1.29791157266214,62.3050887586229,65.8771348090164,0.0270808861923478,1,0,-6.65143606993286,0.00132771657873278
82.5754403083782,1.35315083553094,62.4051913823926,65.2164016480564,0.0282807762667965,1,0,-8.30713688930479,0.00130144217236901
86.0140598586679,1.40829656283428,62.5045091105243,64.5503798388962,0.029587550416673,1,0,-9.95990233286527,0.00156499255295157
89.4520979858545,1.46334493959957,62.6031083040857,63.8788199034646,0.0308805790837057,1,0,-11.6099562139844,0.00173153971898
92.8899582473633,1.51830338789478,62.5187488402048,63.2015091580828,0.0316368162960513,0,0.025450022701339,-12.4698539460003,0.00123246388477721
96.3272534025716,1.57324654864477,61.8302101550581,62.5186606197175,0.0337460326703071,0,0.99781308171091,-13.1810252046203,0.00126189408793155
99.7656677314578,1.62854921232074,61.1325114122327,61.8294863422224,0.037651933279051,0,0.998820836071416,-14.2689658662611,0.0024961748216112
103.212049644592,1.68460493179745,60.4277068515637,61.1317761673861,0.0364579411825536,0,0.998828726239544,-13.5862277521947,0.00346482461679218
106.658659142535,1.74131113958763,59.7197591671088,60.4269639767258,0.0324105820943622,0,0.998849518530968,-11.996664641922,0.00299549382295974
110.088693618312,1.7984082151971,59.0164181533641,59.7190165010675,0.0370792420833299,0,0.983560822873721,-13.238220569511,0.0023009439505011
113.512658238116,1.8560817010221,58.3260523908822,59.0156816037911,0.0419503090745523,0,0.951964586145507,-14.4838421835443,0.000390539687423379
116.945862407139,1.91459766976044,57.5971194993581,58.325327505596,0.042617711005367,0,0.998794474622664,-14.3795074817929,-3.37852176941913e-05
