Loading track data from high_fidel_track.csv...
--------------------------------------------------------------------------------
SIM PHYSICS | MULTI-POINT VISION | FREE RACING LINE | AUTO-STOP
--------------------------------------------------------------------------------
C:\Users\zinov\AppData\Roaming\Python\Python312\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
...
Gen  6961 | Result: off_track    | Prog:   1.1% | Reward:   0.65 | Max Spd:  14.8 m/s | Time:   7.6s
Gen  6962 | Result: off_track    | Prog:   1.7% | Reward:   1.02 | Max Spd:  19.9 m/s | Time:   9.2s
Gen  6963 | Result: off_track    | Prog:   3.5% | Reward:   2.10 | Max Spd:  17.2 m/s | Time:  15.8s
Gen  6964 | Result: off_track    | Prog:   1.2% | Reward:   0.51 | Max Spd:   9.0 m/s | Time:  16.4s
Gen  6965 | Result: off_track    | Prog:   4.9% | Reward:   2.90 | Max Spd:  20.5 m/s | Time:  20.6s
Gen  6966 | Result: off_track    | Prog:   0.1% | Reward:  -0.11 | Max Spd:   5.4 m/s | Time:   7.1s
Gen  6967 | Result: off_track    | Prog:   7.5% | Reward:   4.24 | Max Spd:  21.3 m/s | Time:  43.6s
Gen  6968 | Result: off_track    | Prog:   2.4% | Reward:   1.35 | Max Spd:  19.1 m/s | Time:  16.2s
Gen  6969 | Result: off_track    | Prog:   3.4% | Reward:   1.94 | Max Spd:  17.0 m/s | Time:  20.5s
Gen  6970 | Result: off_track    | Prog:   0.3% | Reward:   0.10 | Max Spd:   7.8 m/s | Time:   6.0s
Gen  6971 | Result: off_track    | Prog:   1.4% | Reward:   0.69 | Max Spd:  17.3 m/s | Time:  14.4s
Gen  6972 | Result: off_track    | Prog:   5.1% | Reward:   2.90 | Max Spd:  22.3 m/s | Time:  26.5s
Gen  6973 | Result: off_track    | Prog:   2.6% | Reward:   1.40 | Max Spd:  15.7 m/s | Time:  19.5s
Gen  6974 | Result: off_track    | Prog:   1.4% | Reward:   0.68 | Max Spd:  13.4 m/s | Time:  16.6s
Gen  6975 | Result: off_track    | Prog:   0.5% | Reward:   0.19 | Max Spd:   8.7 m/s | Time:   7.3s
Gen  6976 | Result: off_track    | Prog:   1.8% | Reward:   1.02 | Max Spd:  17.4 m/s | Time:  11.4s
Gen  6977 | Result: off_track    | Prog:   1.8% | Reward:   1.04 | Max Spd:  17.0 m/s | Time:  10.6s
Gen  6978 | Result: off_track    | Prog:   1.7% | Reward:   0.87 | Max Spd:  15.2 m/s | Time:  15.1s
Gen  6979 | Result: off_track    | Prog:   1.9% | Reward:   1.00 | Max Spd:  15.9 m/s | Time:  15.5s
Gen  6980 | Result: off_track    | Prog:   1.7% | Reward:   0.88 | Max Spd:  17.7 m/s | Time:  16.7s
Gen  6981 | Result: off_track    | Prog:   0.2% | Reward:   0.04 | Max Spd:  12.2 m/s | Time:   5.9s
Gen  6982 | Result: off_track    | Prog:   0.9% | Reward:   0.43 | Max Spd:  13.7 m/s | Time:   8.8s
Gen  6983 | Result: off_track    | Prog:   2.7% | Reward:   1.51 | Max Spd:  18.8 m/s | Time:  17.0s
Gen  6984 | Result: off_track    | Prog:   0.8% | Reward:   0.34 | Max Spd:  12.6 m/s | Time:  12.2s
Gen  6985 | Result: off_track    | Prog:   0.5% | Reward:   0.22 | Max Spd:   9.1 m/s | Time:   5.6s
Gen  6986 | Result: off_track    | Prog:   0.3% | Reward:   0.04 | Max Spd:  11.8 m/s | Time:   8.0s
Gen  6987 | Result: off_track    | Prog:   4.3% | Reward:   2.67 | Max Spd:  23.8 m/s | Time:  17.3s
Gen  6988 | Result: off_track    | Prog:   1.3% | Reward:   0.67 | Max Spd:  14.8 m/s | Time:  12.0s
Gen  6989 | Result: off_track    | Prog:   1.2% | Reward:   0.46 | Max Spd:   9.6 m/s | Time:  19.6s
Gen  6990 | Result: off_track    | Prog:   5.0% | Reward:   2.96 | Max Spd:  21.7 m/s | Time:  22.2s
Gen  6991 | Result: off_track    | Prog:   3.3% | Reward:   1.48 | Max Spd:  14.6 m/s | Time:  40.2s
Gen  6992 | Result: off_track    | Prog:   4.7% | Reward:   2.45 | Max Spd:  12.3 m/s | Time:  40.9s
