Distance_m,Time_s,Velocity_ms,VLIM_ms,SteerAngle_deg,Throttle_0to1,Brake_0to1,Lean_deg
0.0,0.0,5.882700967263899,79.89281975041195,-0.0,1.0,0.0,0.0
3.4387638471409563,1.1495690210682967,8.327658722057546,79.32225872085544,0.0,1.0,0.0,-0.0
6.893732270031462,1.6358295378216883,10.200664805270087,78.7528549776033,0.0,1.0,0.0,-0.0
10.350594992114717,2.008973143284394,11.763554059506795,78.17316767356994,-0.0,1.0,0.0,0.0
13.782505417869364,2.3214732551147543,13.13636143611888,77.59427111195322,-0.0,1.0,0.0,0.0
17.20744662886707,2.5965698683220872,14.382984703439694,77.0134210189987,0.0,1.0,0.0,-0.0
20.652069357343592,2.8469117704158244,15.529296401850667,76.42602536124515,0.0,1.0,0.0,-0.0
24.102136101583586,3.0775907167720624,16.59180013124237,75.83440546362345,-0.0,1.0,0.0,0.0
27.539271435094506,3.2916018001091323,17.587380497548573,75.24190236430788,0.0,1.0,0.0,-0.0
30.972463696107503,3.492495572157081,18.52758026172709,74.64671140384141,0.0,1.0,0.0,-0.0
34.41247604696448,3.6829990243848925,19.420501930713762,74.04634715990224,0.0,1.0,0.0,-0.0
37.853943210968794,3.8643766838171705,20.271349052747027,73.44200716312191,0.0,1.0,0.0,-0.0
41.288695179020486,4.037447572825744,21.08614249262282,72.83529649777455,0.0,1.0,0.0,-0.0
44.72364257453789,4.2035576180517324,21.872157134690493,72.22471178656669,0.0,1.0,0.0,-0.0
48.17232997362205,4.3641173901564665,22.630449141791313,71.60778781040986,0.0,1.0,0.0,-0.0
51.625288172894976,4.5192974341215635,23.36177594067652,70.9861174829276,0.0,1.0,0.0,-0.0
55.06943142454063,4.669068107119881,24.068897633311337,70.36221576526124,0.0,1.0,0.0,-0.0
58.50961486665916,4.8141296541270995,24.75205164209038,69.73488254268449,0.0,1.0,0.0,-0.0
61.94555169263215,4.954886311954078,25.414840073828763,69.10342952805469,0.0,1.0,0.0,-0.0
65.37930126649387,5.091779368566238,26.06143431531831,68.46782319177154,0.0,1.0,0.0,-0.0
68.8177700285072,5.22537368178399,26.69169334635321,67.82716173403851,0.02371636114269626,1.0,0.0,-3.063899821190834
72.25814676576444,5.355806772285159,27.305364670065835,67.18151192424108,0.024377250403867224,1.0,0.0,-3.1726247993185073
75.6974903064468,5.483196806743575,27.904213966042708,66.53093072436963,0.025771143763414387,1.0,0.0,-3.3318553616750983
79.13653351757353,5.607778203525962,28.48921643056591,65.87535672564897,0.02721298494878932,1.0,0.0,-3.5018173879736936
82.57543816895071,5.729739383301399,29.061226630532914,65.21460932776802,0.028521498051786328,1.0,0.0,-3.67030891104958
86.01405767984245,5.849238706955297,29.620652857922796,64.54857283270323,0.02997170398405882,1.0,0.0,-3.856634257536258
