Distance_m,Time_s,SteerAngle_deg,Throttle_0to1,Brake_0to1,Lean_deg
0,0,-0,1,0,0
3.43876396927803,6.1081411636312,0,1,0,-0
6.89373242902419,7.50187641268275,0,1,0,-0
10.3505951915053,8.1290875826389,-0,1,0,0
13.7825057786686,8.55028864533135,-0,1,0,0
17.207447170362,8.8908304990164,0,1,0,-0
20.652069995211,9.18654073078418,0,1,0,-0
24.1021368191592,9.45098187320662,-0,1,0,0
27.5392722748235,9.69126795782268,0,1,0,-0
30.9724646640494,9.91340795282561,0,1,0,-0
34.4124771202565,10.1216054778491,0,1,0,-0
37.8539443836109,10.317998824482,0,1,0,-0
41.2886964581035,10.5039920632025,0,1,0,-0
44.723643958056,10.6813956893715,0,1,0,-0
48.1723314554183,10.851972620561,0,1,0,-0
51.6252897429031,11.0160942561699,0,1,0,-0
55.0694330621621,11.1738808923194,0,1,0,-0
58.5096165692081,11.3261902581168,0,1,0,-0
61.9455534736501,11.4735413158754,0,1,0,-0
65.3793031245732,11.6164715654295,0,1,0,-0
68.8177719540546,11.7556302105736,0.0237192431931649,1,0,-2.95149586058434
72.258148752827,11.8912088710015,0.0243800578048176,1,0,-3.07122355973073
75.6974923499185,12.0233717078685,0.0257744396750497,1,0,-3.22257393656985
79.1365356118931,12.1523969070133,0.0272168449597273,1,0,-3.38447533117614
82.5754403083782,12.2785090328333,0.0285259243560693,1,0,-3.54623070928538
86.0140598586679,12.4018969262193,0.0299768168382244,1,0,-3.72516093197608
89.4520979858545,12.5227246865674,0.0314522278813807,1,0,-3.90936556312894
92.8899582473633,12.6411637646431,0.0323200408507635,1,0,-4.05537310160124
96.3272534025716,12.7573411091642,0.0345604862836711,1,0,-4.32416256549474
99.7656677314578,12.8714393537888,0.0387163489922532,1,0,-4.76270602497047
103.212049644592,12.9837959227443,0.0373768273838442,1,0,-4.78397126272037
106.658659142535,13.0942612641871,0.0330296658563771,1,0,-4.553376223694
110.088693618312,13.2024071781281,0.0379417720964392,1,0,-5.08130926176657
113.512658238116,13.3086682266601,0.0431173862890696,1,0,-5.64264477263686
116.945862407139,13.4135941946584,0.0437699186719062,1,0,-5.81118897424481
120.382171916062,13.5170608143716,0.0453426617044957,1,0,-6.06892903586778
123.816377809496,13.6189824070709,0.0471357157595931,1,0,-6.37257251876435
127.250353104967,13.7194847376845,0.0481503008439065,1,0,-6.61073906238874
130.683125835292,13.8186022233921,0.0503596332435685,1,0,-6.97023017400516
134.118058558355,13.9164879690206,0.0535383428863521,1,0,-7.44587338063192
137.568211700739,14.0135560571203,0.052944492178146,1,0,-7.53940819433932
141.019757007392,14.1094567882873,0.0506623740782735,1,0,-7.44193014973056
144.44287855001,14.2034219837375,0.0560737633395416,1,0,-8.2114169407507
147.8545936062,14.2959816564106,0.0605314122208895,1,0,-8.88742032182391
151.277507565671,14.3877920779514,0.0619198716207677,1,0,-9.22169958548358
154.706193701537,14.4787442315237,0.0642709410361103,1,0,-9.68358810351776
158.142680676807,14.5689298684393,0.0657362574806996,1,0,-10.0280021058682
161.582880910195,14.6582789642101,0.0672961238218766,1,0,-10.3941115418739
165.017093016289,14.7465797555687,0.0693829855716235,1,0,-10.8872282593075
168.44893853878,14.833964679365,0.0718692504705518,1,0,-11.4558532194417
171.883215597084,14.9205884061115,0.103681012655606,1,0,-14.0413259329977
